id	creator	title	model
und:00000001q5h			Person
und:00000001q45	David Dressing	EL Salvador Questionnaire 1995.pdf	GenericFile
und:00000001q6v	Jonathan C Silver	C:/Users/Jonathan/Documents/articles_JCS/Dissertation/SilverJC_Dissertation_v.dvi	GenericFile
und:00000001q8j	Jennifer Lynn Jensen	Microsoft Word - Jensen_Composite.doc	GenericFile
und:00000001q9w	Ryan R Bantz	BantzRR042010T.pdf	GenericFile
und:00000001r1f	Shannon Shamiel Carothers	Research Design and Method	GenericFile
und:00000001r34	Peggy Sue Keller	PARENTING AND MARITAL FUNCTIONING AS POSSIBLE MEDIATORS BETWEEN PARENTAL PROBLEM DRINKING AND CHILD ADJUSTMENT	GenericFile
und:00000001r2s	Stacey S Tiberio	The Effects of Misspecified Measurement Interval in Multivariate Latent Differential Equation Models	Etd
und:00000001r4g	Michael Paul Davis	Experimental Investigation of the Cavitation of Aviation Fuel in a Converging-Diverging Nozzle	Etd
und:00000001r5t	Carolyn Ann Dehner	Insights into iron acquistion from mineral sources by pseudomonads	Etd
und:00000001r65	Carolyn Anna Heitzmann	Microsoft Word - FINAL FORMAT Dissertation Heitzmann.doc	GenericFile
und:00000001r7h	Charles Raymond Anthony	Microsoft Word - 42DD09AE-0355-286DE6.doc	GenericFile
und:00000001r8v	Xiaomin Liu	dissertation.dvi	GenericFile
und:00000001s0d	Ryan Dee Ross	Functionalized Gold Nanoparticles as Damage-Specific X-ray Computed Tomography Contrast Agents in Bone Tissue	Etd
und:00000001s1r	Jeremy Thurston Newkirk	Dynamic Performance Analysis of a Robotic System Using Reliability-Based Design Optimization	Etd
und:00000001s23	Alec Pawling	cdr_e2_towers_univariate_lc_sizes.eps	GenericFile
und:00000001s3f	Ryan Christopher Kennedy	Identification and Annotation of Transposable Elements and Agent- and GIS-based Modeling of Pathogen Transmission	Etd
und:00000001t2d		v2csreprss.zip	GenericFile
und:00000001s7t	Seth Brown	 Migrations of Alkyl and Aryl Groups from Silicon to Nitrogen in Silylated Aryloxyiminoquinones	Article
und:00000001s4s	Julieann Ulin	The Stranger in the House: Domestic Invasion in Twentieth-Century Irish and American Literature	Etd
und:00000001v01	pmishra	MishraP072015D.pdf	GenericFile
und:00000001v1c		Noyola_0014a.jpg	GenericFile
und:00000001v5r	Rosecrans, William S. (William Starke), 1819-1898.	William S. Rosecrans Papers	FindingAid
und:00000001v63		wnd.xml	GenericFile
und:00000001v7f	Phillips, Charles, 1880-1933.	Charles Phillips Papers	FindingAid
und:00000001v8s		obc.xml	GenericFile
und:00000001v94	Havey, William C., 1897-1959	William C. Havey Papers	FindingAid
und:00000001w0b		frb.xml	GenericFile
und:00000001w1p	Vice-President of Business Affairs	Notre Dame: Vice-President of Business Affairs	FindingAid
und:00000001w21		bed.xml	GenericFile
und:00000001w4q		lr_nd6_web.pdf	GenericFile
und:00000001x2b		asl-20399.tif	GenericFile
und:00000001x8d		ccr.xml	GenericFile
und:0000000293c		Algeria-Djemila-gateway.jpg	GenericFile
und:0000000294q		image_3057.xml	GenericFile
und:00000002952		Belgium-Louvain-church-S-James.tif	GenericFile
und:0000000297r		Egypt-Abydos-temple-Seti-2nd-hypostyle.jpg	GenericFile
und:00000002983		image_3389.xml	GenericFile
und:0000000299f		image_1816.xml	GenericFile
und:00000002b0n		France-Versailles-Hamlet-Dairy.tif	GenericFile
und:00000002b2b		France-Avignon-Calvary-of-Notre-Dame-des-Doms.jpg	GenericFile
und:00000002b3p		image_2502.xml	GenericFile
und:00000002b41		France-Rheims-cathedral-Notre-Dame-int-detail.tif	GenericFile
und:00000002b6q		France-Poitiers-cathedral-S-Pierre.jpg	GenericFile
und:00000002b72		image_1828.xml	GenericFile
und:00000002b8d		France-Usse-castle.tif	GenericFile
und:00000002c0z		France-Dives-church-Notre-Dame.jpg	GenericFile
und:00000002c2n		India-Gwalior-palace-Man-Sing2.tif	GenericFile
und:00000002c4b		Italy-Rome-fountain-Tortues.tif	GenericFile
und:00000002c7c		image_1673.xml	GenericFile
und:00000002c61		Italy-Florence-cathedral2.jpg	GenericFile
und:00000002c8q		Italy-Pisa-church-S-Andrew.tif	GenericFile
und:00000002d08		Italy-Rome-church-S-Bartholomew.jpg	GenericFile
und:00000002d1m		image_1465.xml	GenericFile
und:00000002d2z		Italy-Frascati-cathedral.tif	GenericFile
und:00000002d4n		Russia-Yaroslavl-church-S-John-Chrysostem2.jpg	GenericFile
und:00000002d81		Spain-Madrid-Escorial.jpg	GenericFile
und:00000002d9c		image_3285.xml	GenericFile
und:00000002f0k		Turkey-Constantinople-mosque-Bayezid.tif	GenericFile
und:00000002f70		nieuwland.jpg	GenericFile
und:02870v85023	Romain Mensan	5. Les opérations de terrain : Poursuite de la fouille de l’abri Castanet nouveau secteur (secteur sud)	Article
und:02870v8506g		Ariane Umutoni	Profile
und:02870v85054	David Dressing	el_salvador_1995_export_version.dta	GenericFile
und:02870v8507t	Dori C. Woods	Cellular mechanisms regulating follicle selection and granulosa cell differentiation in avian ovarian follicles	Etd
und:02870v8510q	Sheng Li	An Integrated Power, Area, and Timing Modeling Framework for the Design of Multithreaded and Multi/Manycore Architectures	Etd
und:02870v8509h	Peter Svoisky	Search for Mssm Higgs Boson Production in Ppbar Collisions at Sqrt(S)=1.96 Tev, With a Higgs Decaying Into Taus	Etd
und:02870v8513r	Stacey S Tiberio	TiberioSS042008D.pdf	GenericFile
