id	creator	title	model
und:12579s1621t	dbrower	jhove 2 users guide	SeniorThesis
und:12579s16256	jkohn	Annual report for lab (in place of senior thesis)	SeniorThesis
und:3r074t64k8t	bkunycky	Tragedy of the Colonial Commons: The Development of Ugandan Water Policy	SeniorThesis
und:7d278s47p0g	Emily Mediate	Disabling Donor Demands: The Coercion of the International HIV/AIDS Agenda 	SeniorThesis
und:8k71ng4712c	Vienna Wagner	Mystery and Manners: The Postmodern Catholicism of Flannery O'Connor	SeniorThesis
und:9019s180462	Cailean Elizabeth Geary	Language, Literacy, and the Limited Local: The Role of Colonial Education Policies in Creating a Divided Ghana	SeniorThesis
und:9g54xg94t0m	Alexander Kasparie	Actors or Authors? : Churchill and Roosevelt at Casablanca 	SeniorThesis
und:9g54xg94s6c	mmontee	On Characteristic Classes of Complex Vector Bundles	SeniorThesis
und:8910js95f4g	mmontee	On Characteristic Classes of Complex Vector Bundles	SeniorThesis
und:9s161544m9s	panders2	Postponing the Family? The Relationship between Student Debt and Lifecycle Transitions	SeniorThesis
und:cj82k645d2h	Bailey Stavetski	Atomic America and Australia: The Emergence of American and Australian Discourses on the Atomic Bomb	SeniorThesis
und:cn69m326x9w	mcharnle	Forward and Inverse Problems: An Exploration of Differential Equations	SeniorThesis
und:cn69m326z2s	smeehan1	On the Topic of Ramsey Theory	SeniorThesis
und:cv43nv93h01	Caitlin Myron	Procreation Metaphors in Séan Ó Ríordáin's Poetry	SeniorThesis
und:cz30pr76s1f	Monica Moore	"The Great American Novel, Redux"	SeniorThesis
und:d217qn61w4b	Thomas Lis	The Myth of Locarno: Versailles, Poland, and the Continuity of French Foreign Policy, 1919-1936	SeniorThesis
und:h415p841q6h	Katherine Ritchey	Linear Error Correcting Codes	SeniorThesis
und:h415p841q3g	Longshaokan Wang	Ergodic Theory	SeniorThesis
und:sn009w03q9g	lscheibe	Going Green in the Classroom: An Elementary School Environmental Education Unit for Citizen Stewards	SeniorThesis
und:tb09j386q4m	olee	Creating and Contesting the Cult of Girlhood: Magazines, Zines, and the Girls Who Read Them	SeniorThesis
und:th83kw55q4w	Lex Lorenzo	Cultivation Theory and the Disney Princess Phenomenon	SeniorThesis
und:w3763485q46	mmontee	On Characteristic Classes of Complex Vector Bundles	SeniorThesis
und:wp988g85d1z	spratt2	Impact of heritage management on local communities in the hinterland of Butrint National Park, southern Albania	SeniorThesis
und:zw12z317j2d	elent1	Attachment to God in Emerging Adulthood: Relationship between Dyadic Attachment, Individuation, and Identity	SeniorThesis
und:zw12z317j43	Brianna Kunycky	Tragedy of the Colonial Commons: The Development of Ugandan Water Policy	SeniorThesis
und:f4752f78m3p	Isabel Cabezas	Creating a Scene to Make an Impression: How Gustave Caillebotte and His Street Scenes of Haussmannian Modernity Support Impressionism Without Subscription	SeniorThesis
und:4m90dv16q0z	Yide Zhang	Research on Memristor-Based Memory Networks and Computing Technology	SeniorThesis
