id	creator	title	model
und:00000001s7t	Seth Brown	 Migrations of Alkyl and Aryl Groups from Silicon to Nitrogen in Silylated Aryloxyiminoquinones	Article
und:02870v85023	Romain Mensan	5. Les opérations de terrain : Poursuite de la fouille de l’abri Castanet nouveau secteur (secteur sud)	Article
und:05741r68b96	Seth Brown	Molybdenum(VI) Complexes of a 2,2 '-Biphenyl-bridged Bis(amidophenoxide): Competition between Metal-Ligand and Metal-Amidophenoxide pi Bonding	Article
und:08612n51j4d	Romain Mensan	5. Poursuite de la fouille de l’abri Castanet (Secteur nord, coupe Peyrony) : 2007 et 2008	Article
und:08612n51r2k	Thomas A. Stapleford	Defining a ‘Living Wage’ in America: Transformations in Union Wage Theories, 1870-1930	Article
und:0c483j34x1n	Seth Brown	Metrical Oxidation States of 2-Amidophenoxide and Catecholate Ligands: Structural Signatures of Metal-Ligand pi Bonding in Potentially Noninnocent Ligands	Article
und:0g354f1894z	Thomas A. Stapleford	Shaping Knowledge about American Labor: External Advising at the U.S. Bureau of Labor Statistics in the Twentieth Century	Article
und:0k225999p2x	Matthew Sisk	Three-Dimensional Gigapan Views of Archaeological Sites and Artifacts: Examples from the Paleolithic of Southwest France	Article
und:0k225b01g37	Seth Brown	Nonclassical oxygen atom transfer reactions of oxomolybdenum(VI) bis(catecholate)	Article
und:0p096684v6r	Thomas A. Stapleford	Aftershocks from a Revolution: Ordinal Utility and Cost-of-Living Indexes	Article
und:0r96736815s	Seth Brown	Gauging electronic dissymmetry in bis-chelates of titanium(IV) using sterically and electronically variable 2,2′-biphenoxides	Article
und:0v838051d89	Thomas A. Stapleford	Navigating the Shoals of Self-Reporting: Data Collection in US Expenditure Surveys since 1920	Article
und:0z708w35742	Robert Johansen	Measuring Acceptance of International Enforcement of Human Rights: The United States, Asia, and the International Criminal Court	Article
und:12579s1800d	Thomas A. Stapleford	Re-conceiving Quality: Political Economy and the Rise of Hedonic Price Indexes	Article
und:1g05fb5115h	Robert Kusmer	From Rhine to Danube: An American Librarian Experiences the Basel and Vienna Book Fairs	Article
und:1n79h417k7k	Robert Kusmer	Granting New Stimulus to German and Russian Literature Collections	Article
und:1v53jw84496	Robert Kusmer	American in Leipzig: Reflections on the Leipzig Book Fair, 2004	Article
und:1z40ks6815r	Thomas A. Stapleford	Business and the Making of American Econometrics, 1910 - 1940	Article
und:2227mp50r9r	Thomas A. Stapleford	Market Visions: Expenditure Surveys, Market Research, and Economic Planning in the New Deal	Article
